certificate_id,film_name,cut_no,description,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs
100010842100002978,ANURAG KASHYAP FILMS PVT LTD,10,Muted the word Amar baba tuble TCR-00:41:09:23 TO 00:41:11:20,0.0,0.0,0.0,0.0
100010842100002978,ANURAG KASHYAP FILMS PVT LTD,11,Deleted the visual of Abusing dialogue TCR-01:14:08:18 TO 01:14:13:16,5.0,0.0,0.0,5.0
100010842100002978,ANURAG KASHYAP FILMS PVT LTD,12,Deleted the visual of Abusing dialogue TCR-01:14:33:09 TO 01:14:37:07,4.0,0.0,0.0,4.0
100010842100002656,MS. AKSHAY FILMS,1,Deleted the Visuals of Song no - 1 Tapatapssunuu ekvir 00:05:30,330.0,0.0,0.0,330.0
100010842100002656,MS. AKSHAY FILMS,2,Deleted the Visuals of Song No - 2 Rabba rabba raa 00:04:45,285.0,0.0,0.0,285.0
100010842100002656,MS. AKSHAY FILMS,3,Deleted the Visuals of Song No - 3 Hume hume ambine 00:03:30,210.0,0.0,0.0,210.0
100010842100002656,MS. AKSHAY FILMS,4,Deleted the Visuals of Song No - 4 Pudi vange vange 00:05:28,328.0,0.0,0.0,328.0
100010842100002656,MS. AKSHAY FILMS,5,Deleted the Visuals of Song no  5 Ta ta ta re re 00:05:01,301.0,0.0,0.0,301.0
100010842100002656,MS. AKSHAY FILMS,6,Deleted the Visuals of Song no  6 Music 00:03:16,196.0,0.0,0.0,196.0
100010842100002656,MS. AKSHAY FILMS,7,Deleted the visuals End scroll titles 00:05:00,300.0,0.0,0.0,300.0
100010842200000100,EMAIL FEMALE,1,Deleted the visual of Shantanu opens the balcony door revealing beautiful woman standing there. Shantanu caresses womans back. Lady makes romance with Shantanu on bed. Title appears.,18.0,0.0,0.0,18.0
100010842200000100,EMAIL FEMALE,2,Deleted the visual of Shantanu watching romantic scene of Bollywood movie on TV. He sees Sexy womans photo in newspaper. Title appears. V.O.  Bhigehonth mere pyasadilmera,16.0,0.0,0.0,16.0
100010842200000100,EMAIL FEMALE,3,Deleted the visual of Shantanu gets excited looking womans back as she comes out of lift. Title appears. V.O. :- Bhabhi Hello Bhabhi,17.0,0.0,0.0,17.0
100010842200000100,EMAIL FEMALE,4,Deleted the visual of Shantanu looking at Womans sexy legs in adjacent rickshaw. Title appears.,14.0,0.0,0.0,14.0
100010842200000100,EMAIL FEMALE,5,Deleted the visual of Shantanu prays in his office. He gets disturbed recollecting all incidences. Rosy tries to speak to him. Rosy goes after having a talk with Vicky. Shantanu speaks with Vicky while their boss comes there. Rosy :- Me hi tuladete,228.0,0.0,0.0,228.0
100010842200000100,EMAIL FEMALE,6,Deleted the visual of Shantanu watching TV in hotel room. He gets a call.,10.0,0.0,0.0,10.0
100010842200000100,EMAIL FEMALE,7,"Deleted the visual of Shantanu Vicky talking at a restaurant. He dreams of having lady massage. Foreigner masseur speaks to him. Shantanu : Mahanje, Arrey baba ithe beach var jaau      massage.",74.0,0.0,0.0,74.0
100010842200000100,EMAIL FEMALE,8,Deleted the visual of Shantanu surfing friendship website.,6.0,0.0,0.0,6.0
100010842200000100,EMAIL FEMALE,9,Deleted the visual of Shantanu watching friendship website. He tries to make a call while Prajakta enquires. He save the number in his mobile. Prajakta : Kaaybaghtoyes      number tar save karto.,10.0,0.0,0.0,10.0
100010842200000100,EMAIL FEMALE,10,Deleted the visual of Shantanu speaks with Vicky at office. Shantanu asks for massage service girls number. Shantanu : Kuthe  Ghari        massagewaliyeyeeghari.,40.0,0.0,0.0,40.0
100010842200000100,EMAIL FEMALE,11,Deleted the visual of excited Shantanu opens the door thinking of masseur at the door. He sees beautiful neighbour standing in front of him holding plate of food for him. Ladys son pulls her saree. Shantanu gets excited looking at her cleavage. Sha,80.0,0.0,0.0,80.0
100010842200000100,EMAIL FEMALE,12,Deleted the visual of Shantanu speaking with Suzan over the phone. Suzan : Tab takaaphumarichhoti        just call and enjoy.,58.0,0.0,0.0,58.0
100010842200000100,EMAIL FEMALE,13,Deleted the visual of Shantanu fills form on his laptop. Shantanu : Bharbharkelelaaahe,5.0,0.0,0.0,5.0
100010842200000100,EMAIL FEMALE,14,Deleted the visual of Monica speaks with Shantanu. Monica : How are you,2.0,0.0,0.0,2.0
100010842200000100,EMAIL FEMALE,15,Deleted the visual of Vicky tries to give his mobile number to lady colleague. Shantanu stops him. Vicky : This is my number     . . Setting kartoy.,6.0,0.0,0.0,6.0
100010842200000100,EMAIL FEMALE,16,Deleted the visual of Shantanu thinking of Monica in his toilet.,3.0,0.0,0.0,3.0
100010842200000100,EMAIL FEMALE,17,Deleted the visual of Shantanu caresses Monicas back in hotel balcony. Monica kisses Shantanu on lips.,30.0,0.0,0.0,30.0
100010842200000100,EMAIL FEMALE,18,Deleted the visual of Monica fallen on bed wrapped in a sheet. Shantanu bends over her and starts kissing her. He feels cold response. V.O. : Monica oh my darling,32.0,0.0,0.0,32.0
100010842200000100,EMAIL FEMALE,19,"Muted words. O.S. :- CHYA AAILA, SEXY, CHYA AAILA,",0.0,0.0,0.0,0.0
100010842200000176,NINE DAYS,1,Muted the word Fucking -1.10.08  01.24.05  01.30.15  01.31.40  Ass  42.21  Fucking  01.17.45  01.23.00  01.24.06  01.27.14,0.0,0.0,0.0,0.0
100010842200000176,NINE DAYS,2,"Added 10 Seconds of space in the beginning of film for display of CBFC Certificate, As per Rules 35 (3) CCR 1983",0.0,0.0,10.0,10.0
100010842200000165,JULIA,1,Muted the word Sexuality -12.59 - Sexual -32.30  Fuck  33.21 Sexy  40.58  Breast  01.06.26,0.0,0.0,0.0,0.0
100010842200000165,JULIA,2,Deleted the visual of nude lady.,5.0,0.0,0.0,5.0
100010842200000165,JULIA,3,"Added 10 Seconds of space in the beginning of film for display of CBFC Certificate, As per Rules 35 (3) CCR 1983",0.0,0.0,10.0,10.0
