id,movie_name,language
100010292000002954,YEH SAALI AASHIQUI,Hindi
100010291900011883,YEH SAALI AASHIQUI,Hindi
100010292100003748,YEH LADKI BHI NA,Hindi
100040291900000022,""" YEH KAISA TIGDAM """,Hindi
100010291800007372,"""YEH KAISA TIGDAM""",Hindi
100010292000005043,YEH KAISA MODH,Hindi
100010291900012949,YEH KAISA HAI DAHEJ,Hindi
100010291900008329,YEH ISHQ BADA BEDARDI HAI,Bhojpuri
100010291800005883,YEH ISHQ BADA BEDARDI HAI,Bhojpuri
100010291900000685,YEH HAI PYAR KA MAUSAM,Hindi
100010291800003578,YEH HAI FULL 2 DHAMAAL,Hindi
100010292500001949,YEH DIL BILL,Hindi
100010292400006359,YEH DIL BILL,Hindi
100010292000006098,YEH BALLET,Hindi
100020292400000312,YEGATHIPATHI,Tamil
100070292300000961,"""YEDURULENI ALEXANDER""",Kannada
100010291900003492,YED PREM,Marathi
100020291800000544,YEAR ULLERGEY,TULU (WITH ENGLISH SUBTITLE)
100010292500001183,YEAR 10,NO DIALOGUES ONLY VFX SOUND EFFECTS
100010292100005759,YE MARD BECHARA,Hindi
100010291800012215,YE HAI STREE SHAKTI,Hindi
100050292000000489,YE HAI RANI KI HUKUMUT,Bhojpuri
100030292200002769,YE ENDAKA GODUGU,Telugu
100010292400000821,YE DUAA HAI MERI RAB SE,Bhojpuri
100070292300000857,YE CHOTA NUVVUNNA,Telugu
100010292300001964,KOMBADA PALALA LANDAN LA,Marathi
100020292400000257,YAVOO IVELLA,Kannada
100070292400000135,"""YATRA 2""",Telugu
100070291900000048,"""YATRA""",Telugu
100010292400006719,BOLO HAR HAR SHAMBHU,Hindi
100020292300000490,YATHABHAVA,Kannada
100010291900011849,HASHTAG YAARAM,Hindi
100010291900013915,TUJHA DURAVA,Marathi
100010291800012749,GATMAT,Marathi
100070292200001085,"""YASHODA""",Telugu
100010292000005330,SAIYAN ARAB GAILE NA,Bhojpuri
100010292200009566,HOTE HOTE PYAAR HO GAYA,Bhojpuri
100010292000004848,PREMIKA HUM TOHAR,Bhojpuri
100010292000003814,HUKUMAT KI JANZEER,Hindi
100010291900000216,HEROGIRI,Bhojpuri
100020292200000164,YASH IN MASTER PIECE,Malayalam
100020292000000313,YARU HATTIRADAVARU ?,Kannada with English Subtitles
100030292000000961,YAR MANASULA YAR,Tamil
100010292200010993,COLORPHOOL,Marathi
100070291900000216,YAMUDA MAJAKA,Telugu
100010291800009495,YAMLA PAGLA DEEWANA PHIR SE,Hindi
100070292300000545,YAMARAJAA,Kannada
