id,certificate_id,movie_name,language,duration_secs,description,cleaned_description,cut_no,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs,cert_date,cert_no,applicant,certifier,rating,cbfc_file_no
100080291700000101,100080101700000079,BOXER,Bengali,9009.0,Mute the word Maal in the sentence Kya Maal Hai Yaar.,,4,0.0,0.0,0.0,0.0,2017-09-16,DIL2162017-KOL,"qr-redirect-endorsment  width: 98; float: left; padding: 1;  .endorsementHeading  width: 100; float: left; text-align: center; background: 555; color: fff; font-weight: bold; padding: 6px 0; margin-top: 10px; border-radius: 3px;  qr-redirect-endorsment div  width: 100; float: left; margin: 5px 0;  qr-redirect-endorsment table, qr-redirect-endorsment td, qr-redirect-endorsment th  border: 1px solid 888; text-align: left;  qr-redirect-endorsment table  border-collapse: collapse; width: 100;  qr-redirect-endorsment th, qr-redirect-endorsment td  padding: 5px; font-size: 12px;  EndorsementFile No. : 1A081007201700044Film Name : BOXER (BENGALI) (Color) (2-D)Applied Running Time : 150.09 MM.SS Cert No. DIL2162017-KOL Dated 16092017Insertions  Excisions Modifications carried out by the applicant to comply with the law in force Duration (MM.SS)Cut No.DescriptionDeletedReplacedInserted1Mute the word Bhole or replace with other word in the entire song sequence wherever occures.00.0000.0000.002DeleteReplace unbuttoning scene in the song sequence.00.0000.0000.003Blurr all the liquor brands on bear can in the song sequence wherever occures. 00.0000.0000.004Mute the word Maal in the sentence Kya Maal Hai Yaar.00.0000.0000.00Total : 00.0000.0000.00Actual Duration of the film after the aforesaid deletions and replacements will be 150.09 MM.SS in 1 cassette(s).","AJAY MHAMIA, RO, CBFC, Kolkata",UA,1A081007201700044
100080291700000101,100080101700000079,BOXER,Bengali,9009.0,Blurr all the liquor brands on bear can in the song sequence wherever occures.,,3,0.0,0.0,0.0,0.0,2017-09-16,DIL2162017-KOL,"qr-redirect-endorsment  width: 98; float: left; padding: 1;  .endorsementHeading  width: 100; float: left; text-align: center; background: 555; color: fff; font-weight: bold; padding: 6px 0; margin-top: 10px; border-radius: 3px;  qr-redirect-endorsment div  width: 100; float: left; margin: 5px 0;  qr-redirect-endorsment table, qr-redirect-endorsment td, qr-redirect-endorsment th  border: 1px solid 888; text-align: left;  qr-redirect-endorsment table  border-collapse: collapse; width: 100;  qr-redirect-endorsment th, qr-redirect-endorsment td  padding: 5px; font-size: 12px;  EndorsementFile No. : 1A081007201700044Film Name : BOXER (BENGALI) (Color) (2-D)Applied Running Time : 150.09 MM.SS Cert No. DIL2162017-KOL Dated 16092017Insertions  Excisions Modifications carried out by the applicant to comply with the law in force Duration (MM.SS)Cut No.DescriptionDeletedReplacedInserted1Mute the word Bhole or replace with other word in the entire song sequence wherever occures.00.0000.0000.002DeleteReplace unbuttoning scene in the song sequence.00.0000.0000.003Blurr all the liquor brands on bear can in the song sequence wherever occures. 00.0000.0000.004Mute the word Maal in the sentence Kya Maal Hai Yaar.00.0000.0000.00Total : 00.0000.0000.00Actual Duration of the film after the aforesaid deletions and replacements will be 150.09 MM.SS in 1 cassette(s).","AJAY MHAMIA, RO, CBFC, Kolkata",UA,1A081007201700044
100080291700000101,100080101700000079,BOXER,Bengali,9009.0,DeleteReplace unbuttoning scene in the song sequence.,,2,0.0,0.0,0.0,0.0,2017-09-16,DIL2162017-KOL,"qr-redirect-endorsment  width: 98; float: left; padding: 1;  .endorsementHeading  width: 100; float: left; text-align: center; background: 555; color: fff; font-weight: bold; padding: 6px 0; margin-top: 10px; border-radius: 3px;  qr-redirect-endorsment div  width: 100; float: left; margin: 5px 0;  qr-redirect-endorsment table, qr-redirect-endorsment td, qr-redirect-endorsment th  border: 1px solid 888; text-align: left;  qr-redirect-endorsment table  border-collapse: collapse; width: 100;  qr-redirect-endorsment th, qr-redirect-endorsment td  padding: 5px; font-size: 12px;  EndorsementFile No. : 1A081007201700044Film Name : BOXER (BENGALI) (Color) (2-D)Applied Running Time : 150.09 MM.SS Cert No. DIL2162017-KOL Dated 16092017Insertions  Excisions Modifications carried out by the applicant to comply with the law in force Duration (MM.SS)Cut No.DescriptionDeletedReplacedInserted1Mute the word Bhole or replace with other word in the entire song sequence wherever occures.00.0000.0000.002DeleteReplace unbuttoning scene in the song sequence.00.0000.0000.003Blurr all the liquor brands on bear can in the song sequence wherever occures. 00.0000.0000.004Mute the word Maal in the sentence Kya Maal Hai Yaar.00.0000.0000.00Total : 00.0000.0000.00Actual Duration of the film after the aforesaid deletions and replacements will be 150.09 MM.SS in 1 cassette(s).","AJAY MHAMIA, RO, CBFC, Kolkata",UA,1A081007201700044
100080291700000101,100080101700000079,BOXER,Bengali,9009.0,Mute the word Bhole or replace with other word in the entire song sequence wherever occures.,,1,0.0,0.0,0.0,0.0,2017-09-16,DIL2162017-KOL,"qr-redirect-endorsment  width: 98; float: left; padding: 1;  .endorsementHeading  width: 100; float: left; text-align: center; background: 555; color: fff; font-weight: bold; padding: 6px 0; margin-top: 10px; border-radius: 3px;  qr-redirect-endorsment div  width: 100; float: left; margin: 5px 0;  qr-redirect-endorsment table, qr-redirect-endorsment td, qr-redirect-endorsment th  border: 1px solid 888; text-align: left;  qr-redirect-endorsment table  border-collapse: collapse; width: 100;  qr-redirect-endorsment th, qr-redirect-endorsment td  padding: 5px; font-size: 12px;  EndorsementFile No. : 1A081007201700044Film Name : BOXER (BENGALI) (Color) (2-D)Applied Running Time : 150.09 MM.SS Cert No. DIL2162017-KOL Dated 16092017Insertions  Excisions Modifications carried out by the applicant to comply with the law in force Duration (MM.SS)Cut No.DescriptionDeletedReplacedInserted1Mute the word Bhole or replace with other word in the entire song sequence wherever occures.00.0000.0000.002DeleteReplace unbuttoning scene in the song sequence.00.0000.0000.003Blurr all the liquor brands on bear can in the song sequence wherever occures. 00.0000.0000.004Mute the word Maal in the sentence Kya Maal Hai Yaar.00.0000.0000.00Total : 00.0000.0000.00Actual Duration of the film after the aforesaid deletions and replacements will be 150.09 MM.SS in 1 cassette(s).","AJAY MHAMIA, RO, CBFC, Kolkata",UA,1A081007201700044
100070291700000627,100070101700000893,BOMMALOLLU - THE PUPPETEERS,Telugu,4500.0,Excisemodify the dialogue lanjalu (Muted),,6,0.0,0.0,0.0,0.0,2017-12-31,VIL112017-HYD,BN AJIT NAG - HYDERABAD(CHITRALEKHA STUDIOS PVT LTD.),"PVR Rajasekharam, RO, CBFC, Hyderabad",U,1A071312201700042
100070291700000627,100070101700000893,BOMMALOLLU - THE PUPPETEERS,Telugu,4500.0,"Excisemodify the dialogue chakalodu, mangalodu. (Muted)",,5,0.0,0.0,0.0,0.0,2017-12-31,VIL112017-HYD,BN AJIT NAG - HYDERABAD(CHITRALEKHA STUDIOS PVT LTD.),"PVR Rajasekharam, RO, CBFC, Hyderabad",U,1A071312201700042
100070291700000627,100070101700000893,BOMMALOLLU - THE PUPPETEERS,Telugu,4500.0,"Excisemodify the dialogue Harijanulu, maadigodu (Muted)",,4,0.0,0.0,0.0,0.0,2017-12-31,VIL112017-HYD,BN AJIT NAG - HYDERABAD(CHITRALEKHA STUDIOS PVT LTD.),"PVR Rajasekharam, RO, CBFC, Hyderabad",U,1A071312201700042
100070291700000627,100070101700000893,BOMMALOLLU - THE PUPPETEERS,Telugu,4500.0,"Excisemodify the dialogue ammani dengu, dengu(Muted)",,3,0.0,0.0,0.0,0.0,2017-12-31,VIL112017-HYD,BN AJIT NAG - HYDERABAD(CHITRALEKHA STUDIOS PVT LTD.),"PVR Rajasekharam, RO, CBFC, Hyderabad",U,1A071312201700042
100070291700000627,100070101700000893,BOMMALOLLU - THE PUPPETEERS,Telugu,4500.0,Excisemodify the dialogue mundakoduku (Muted),,2,0.0,0.0,0.0,0.0,2017-12-31,VIL112017-HYD,BN AJIT NAG - HYDERABAD(CHITRALEKHA STUDIOS PVT LTD.),"PVR Rajasekharam, RO, CBFC, Hyderabad",U,1A071312201700042
100070291700000627,100070101700000893,BOMMALOLLU - THE PUPPETEERS,Telugu,4500.0,Excisemodify the dialogue lanjakoduku. (Muted),,1,0.0,0.0,0.0,0.0,2017-12-31,VIL112017-HYD,BN AJIT NAG - HYDERABAD(CHITRALEKHA STUDIOS PVT LTD.),"PVR Rajasekharam, RO, CBFC, Hyderabad",U,1A071312201700042
100020291700000535,100020101700000708,BLUE EYES,Kannada,5413.0,The visual of kissing scene from 59 mins 00 secs to 59 mins 30 secs should be reduced to 50,,6,15.0,0.0,0.0,15.0,,DIL3432017-BAN,DN SREENIVASAPPA (E.O.),"DN SREENIVASAPPA, RO, CBFC, Bangalore",A,1A023010201700030
100020291700000535,100020101700000708,BLUE EYES,Kannada,5413.0,The visual f intimate kissing scene from 47 mins 56 secs to 49 mins 14 secs should be deletedcut,,5,78.0,0.0,0.0,78.0,,DIL3432017-BAN,DN SREENIVASAPPA (E.O.),"DN SREENIVASAPPA, RO, CBFC, Bangalore",A,1A023010201700030
100020291700000535,100020101700000708,BLUE EYES,Kannada,5413.0,The visual of lip lock kissing scene from 36 mins 15 secs to 36 mins 47 secs should be deletedcut,,4,32.0,0.0,0.0,32.0,,DIL3432017-BAN,DN SREENIVASAPPA (E.O.),"DN SREENIVASAPPA, RO, CBFC, Bangalore",A,1A023010201700030
