id,certificate_id,movie_name,language,duration_secs,description,cleaned_description,cut_no,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs,cert_date,cert_no,applicant,certifier,rating,cbfc_file_no
100020291700000514,100020101700000713,ASHRAYA DHAMA,Kannada,6592.0,The disclaimer against alcohol consumption at 32 mins 26 secs to 33 mins 50 secs should be inserted and wherever applicable.,,2,0.0,0.0,0.0,0.0,2017-11-29,DIL1372017-BAN,DN SREENIVASAPPA (E.O.),"DN SREENIVASAPPA, RO, CBFC, Bangalore",U,1A023010201700085
100020291700000514,100020101700000713,ASHRAYA DHAMA,Kannada,6592.0,The visual of attempt to rape on specially abled girl from 29 mins 39 secs to 29 mins 46 secs should be deletedcut,,1,8.0,0.0,0.0,8.0,2017-11-29,DIL1372017-BAN,DN SREENIVASAPPA (E.O.),"DN SREENIVASAPPA, RO, CBFC, Bangalore",U,1A023010201700085
100090291700000270,100090101700000364,ASHIQ VANNA DIVASAM,Malayalam,7577.0,DELETE THE WORDNAYINTE MOLE,,1,0.0,0.0,0.0,0.0,2017-12-30,DIL1852017-THI,NASSER LATIF - ERNAKULAM(PEANUTS INTERNATIONAL),"Prathibha A, RO, CBFC, Thiruvananthpuram",U,1A090812201700074
100030291700000946,100030101700001220,ARUVADAI,Tamil,8608.0,"Keep only one shot of drinking and one shot of showing Thilagam, deleting the rest. (Shot Nos.116 to 121) (Reel 6)",,8,4.0,0.0,0.0,4.0,2017-12-30,DIL2642017-Che,LAWRENCERAM RAMALINGAM - CHENNAI(ELEPHANT WHITE TECHNOLOGIES),"M M Mathialagen, RO, CBFC, Chennai",UA,1A030412201703482
100030291700000946,100030101700001220,ARUVADAI,Tamil,8608.0,Delete the audio and video of the dialogue Nee kalyaanam..............to...complaint panrey. (Shot 71) (Reel 6),,7,0.0,0.0,0.0,0.0,2017-12-30,DIL2642017-Che,LAWRENCERAM RAMALINGAM - CHENNAI(ELEPHANT WHITE TECHNOLOGIES),"M M Mathialagen, RO, CBFC, Chennai",UA,1A030412201703482
100030291700000946,100030101700001220,ARUVADAI,Tamil,8608.0,Delete the entire sequence of Hospital Directors dialogue with Thilagam. (Shot Nos.45 to 58) (Reel 5),,6,98.0,0.0,0.0,98.0,2017-12-30,DIL2642017-Che,LAWRENCERAM RAMALINGAM - CHENNAI(ELEPHANT WHITE TECHNOLOGIES),"M M Mathialagen, RO, CBFC, Chennai",UA,1A030412201703482
100030291700000946,100030101700001220,ARUVADAI,Tamil,8608.0,Remove the visuals of pouring liquor on woman. (Thilagam) (Shot Nos.209 to 211) (Reel 4),,5,63.0,0.0,0.0,63.0,2017-12-30,DIL2642017-Che,LAWRENCERAM RAMALINGAM - CHENNAI(ELEPHANT WHITE TECHNOLOGIES),"M M Mathialagen, RO, CBFC, Chennai",UA,1A030412201703482
100030291700000946,100030101700001220,ARUVADAI,Tamil,8608.0,Remove the audio and video of torturing Thilagam by Brutes. (Shot Nos.192 to 208) (Reel 4),,4,33.0,0.0,0.0,33.0,2017-12-30,DIL2642017-Che,LAWRENCERAM RAMALINGAM - CHENNAI(ELEPHANT WHITE TECHNOLOGIES),"M M Mathialagen, RO, CBFC, Chennai",UA,1A030412201703482
100030291700000946,100030101700001220,ARUVADAI,Tamil,8608.0,Mute the words Bloody fucking Bitch. (Shot 157) (Reel 4),,3,0.0,0.0,0.0,0.0,2017-12-30,DIL2642017-Che,LAWRENCERAM RAMALINGAM - CHENNAI(ELEPHANT WHITE TECHNOLOGIES),"M M Mathialagen, RO, CBFC, Chennai",UA,1A030412201703482
100030291700000946,100030101700001220,ARUVADAI,Tamil,8608.0,Mute the sentence Yendhiram.........to..yerpadiththiyirukkumo. (Shot 64) (Reel 2),,2,14.0,0.0,0.0,14.0,2017-12-30,DIL2642017-Che,LAWRENCERAM RAMALINGAM - CHENNAI(ELEPHANT WHITE TECHNOLOGIES),"M M Mathialagen, RO, CBFC, Chennai",UA,1A030412201703482
100030291700000946,100030101700001220,ARUVADAI,Tamil,8608.0,"Disclaimers are to be kept as per norms, legible to read, wherever it requires and also in white background with bold black letters.",,1,20.0,20.0,0.0,40.0,2017-12-30,DIL2642017-Che,LAWRENCERAM RAMALINGAM - CHENNAI(ELEPHANT WHITE TECHNOLOGIES),"M M Mathialagen, RO, CBFC, Chennai",UA,1A030412201703482
100070291700000564,100070101700000704,'ARJUN REDDY',Telugu,10435.0,Jia Sharma car scene - Arjun is trying to makeout with heroine Jia Sharma in car as they have a word to maintain some physical relation and suddenly Jia express her love to Arju where he gets irritated and get down from the Car.,,8,68.0,0.0,0.0,68.0,2017-12-12,VIL282017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A071510201700020
100070291700000564,100070101700000704,'ARJUN REDDY',Telugu,10435.0,Football fight - Arjun will show his middle finger to Amith and his private part in football fight,,7,8.0,0.0,0.0,8.0,2017-12-12,VIL282017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A071510201700020
100070291700000564,100070101700000704,'ARJUN REDDY',Telugu,10435.0,Snorting scene - Arjun will snort cocaine before going to court to overcome his alcohol trip.,,6,60.0,0.0,0.0,60.0,2017-12-12,VIL282017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A071510201700020
100070291700000564,100070101700000704,'ARJUN REDDY',Telugu,10435.0,Kissing scene from Mangalore and Mussorie song,,5,3.0,0.0,0.0,3.0,2017-12-12,VIL282017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A071510201700020
100070291700000564,100070101700000704,'ARJUN REDDY',Telugu,10435.0,Kissing scene from Mangalore to Mossorie song,,4,5.0,0.0,0.0,5.0,2017-12-12,VIL282017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A071510201700020
100070291700000564,100070101700000704,'ARJUN REDDY',Telugu,10435.0,Deleted total Madhuram song.,,3,420.0,0.0,0.0,420.0,2017-12-12,VIL282017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A071510201700020
100070291700000564,100070101700000704,'ARJUN REDDY',Telugu,10435.0,Seniors ragging Preethi and rest of the girls in Hostel.,,2,44.0,0.0,0.0,44.0,2017-12-12,VIL282017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A071510201700020
100070291700000564,100070101700000704,'ARJUN REDDY',Telugu,10435.0,Arjun is trying to hook up with one of his patients wife and it fails and comes out with frustrated mood.,,1,79.0,0.0,0.0,79.0,2017-12-12,VIL282017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A071510201700020
100070291700000284,100070101700000457,"""ARJUN REDDY""",Telugu,11207.0,Deletemute fuck them all,,19,0.0,0.0,0.0,0.0,2017-08-18,DIL3122017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",A,1A070108201700022
100070291700000284,100070101700000457,"""ARJUN REDDY""",Telugu,11207.0,Deletemute fucked me up,,18,0.0,0.0,0.0,0.0,2017-08-18,DIL3122017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",A,1A070108201700022
100070291700000284,100070101700000457,"""ARJUN REDDY""",Telugu,11207.0,Liplock to be reduced in the song Dooram by 30.,,17,5.0,5.0,0.0,10.0,2017-08-18,DIL3122017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",A,1A070108201700022
100070291700000284,100070101700000457,"""ARJUN REDDY""",Telugu,11207.0,Deletemute I did not wax,,16,0.0,0.0,0.0,0.0,2017-08-18,DIL3122017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",A,1A070108201700022
100070291700000284,100070101700000457,"""ARJUN REDDY""",Telugu,11207.0,Liquor labels to be removed wherever appearing.,,15,0.0,0.0,0.0,0.0,2017-08-18,DIL3122017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",A,1A070108201700022
100070291700000284,100070101700000457,"""ARJUN REDDY""",Telugu,11207.0,Deletemute dengey,,14,0.0,0.0,0.0,0.0,2017-08-18,DIL3122017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",A,1A070108201700022
100070291700000284,100070101700000457,"""ARJUN REDDY""",Telugu,11207.0,Deletemute bloody 549 night  to ... make it 550.,,13,0.0,0.0,0.0,0.0,2017-08-18,DIL3122017-HYD,VANGA PRANAY REDDY - WARANGAL(BHADRAKALI PICTURES),"PVR Rajasekharam, RO, CBFC, Hyderabad",A,1A070108201700022
