certificate_id,film_name,film_name_full,language,duration_secs,description,cleaned_description,cut_no,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs,cert_date,cert_no,applicant,certifier,rating,cbfc_file_no
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,Insert disclaimer on CGI animal at 26.46 for entire duration of animal scene (CGI disclaimer inserted),,3,0.0,0.0,0.0,0.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,"Excise modify the visuals of urination on wall scene by pakistani characters (Make it indicative) at 1.16.40 to 1.17.41, 1.18.00 to 1.18.55, 1.52.32 and reduce duration of Vande Mataram song (Covered with CG, Vande matram song muted, duration reduced)",,4,20.0,0.0,0.0,20.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,Excisemodify the visuals of breaking leg (make it indicative) at 1.19.39 (modified),,5,3.0,0.0,0.0,3.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,"Submit documentary evidence on content related to Late Smt. Sushma Swaraj, Smt. Bansuri Swaraj shown in the film including photos, names in CG and name plates (Modified, NOC by Ms Bansuri Swaraj Submitted)",,6,0.0,0.0,0.0,0.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,ExciseMute the word Durga Bhavani Trishul in audio and in subtitle text at 1.27.50 (muted with change in subtitle text),,7,2.0,0.0,0.0,2.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,"Excisereduce visuals of circumcision (Make it indicative) at TCR 1.30.59 to 1.32.50 (covered with CG, duration reduced)",,8,2.0,0.0,0.0,2.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,Excisemodify the visuals of burning effigy at 1.41.30 (covered with CG),,9,0.0,0.0,0.0,0.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,ExciseMute the word Harami along with subtitle text at 1.42.25 (muted with change in subtitle text),,10,0.0,0.0,0.0,0.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,Excise the dialogue at Sc no.62 Mee Bharatha ...to... Kadugutham along with subtitle text (muted with change in subtitle text),,11,0.0,0.0,0.0,0.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,"Excise the visuals related to National flag (On ground, burning, putting in pocket, use as weapon etc) at 1.54.00 to 1.58.00 (Sc no.62) (Flag visuals reduced, Duration reduced, covered with CG)",,12,10.0,0.0,0.0,10.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
