Film Name,Year,URL
"""MARIO""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI2MDEyMDI2MDAwNTI=
"""MISTER ?""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI3MDgyMDI1MDAwMTU=
"""MR. WORK FROM HOME""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEyMDEyMDI2MDAwMTA=
"""MRITHYUNJAY""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEyMDIyMDI2MDAwNDQ=
"""NAARI NAARI NADUMA MURARI""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA4MDEyMDI2MDAwNDE=
"""NAARI NAARI NADUMA MURARI""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEwMDEyMDI2MDAwMTU=
"""NAARI NAARI NADUMA MURARI""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEwMDEyMDI2MDAwMjY=
"""NAARI NAARI NADUMA MURARI""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEzMDEyMDI2MDAwNTU=
"""NAWABS CAFE""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI1MDcyMDI1MDAwMjM=
"""NILAVE""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA4MDkyMDI1MDAwNDE=
"""OM SHANTHI (SHANTI..SHANTIHI)""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzE1MDkyMDI1MDAwMTM=
"""PAANCH MINAR""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA2MTIyMDI1MDAwNTE=
"""PAATKI""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTExMDEyMDI2MDAwMzI=
"""PATANG""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA5MDEyMDI2MDAwMzE=
"""PATANG""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEwMDEyMDI2MDAwNDE=
"""PATANG""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEwMDEyMDI2MDAwNTI=
"""PATANG""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEwMDEyMDI2MDAwNjM=
"""PRABHAS S THE RAJASAAB""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwNzAyMDEyMDI2MDAwMTE=
"""PRABHAS S THE RAJASAAB""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwNzAzMDEyMDI2MDAwMTI=
"""PRABHAS S THE RAJASAAB""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwNzAzMDEyMDI2MDAwMjM=
