id,title,category,language,format,duration,applicant,certifier,synopsis,file_no,film_name_full,cert_no,cert_date,final_duration
100010842400010237,MADDOCK FILMS - MUMBAI,Video,Hindi,,002.45 MM.SS,Premraj Achari (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,CA013012202400145,PROMO NO. 9 - SKY FORCE (HINDI),VIS722025-MUM,06012025,002.45
100010842400010193,V2S PRODUCTIONS - MUMBAI,Video,Hindi,,004.18 MM.SS,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",SONG - BEAUTIFUL SAJNA FULL SONG  PROMO 01 FILM - PINTU KI PAPPI,,,,,
100010842400010247,TIMES MUSIC - MUMBAI,Video,,,002.05 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000008,PRAYAG - FATEH,Video,Hindi,,000.23 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000009,SUMMERCOOL - FATEH,Video,Hindi,,000.23 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000010,JIO STUDIOS- MUMBAI,Video,,,000.23 MM.SS,JIO STUDIOS - MUMBAI (SUBURBAN),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000007,DR ORTHO - FATEH,Video,Hindi,,000.23 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400009992,UNIVERSAL STUDIOS,Theatrical,,,002.27 MM.SS,Sanjay U Jadhav (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000035,BUSINESS 4 YOU - MUMBAI,Theatrical,,,000.23 MM.SS,Sanjay U Jadhav (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000045,S STAR - MUMBAI,Theatrical,HINDI PARTLY ENGLISH,,000.18 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000046,MARWADI UNIVERSITY,Theatrical,,,000.33 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000016,THE LORDS BY PRISTINE,Theatrical,,,000.55 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000047,MARVEL ENTERPRISE - THANE,Theatrical,,,001.53 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000048,MARVEL ENTERPRISE - THANE,Theatrical,,,001.53 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000052,MADDOCK FILMS - MUMBAI,SKY FORCE  SONG - KYA MERI YAAD AATI HAIN THEATRICAL,Hindi,,002.30 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000054,MADDOCK FILMS - MUMBAI,SKY FORCE  SONG - TU HAIN TOH MAIN HOON THEATRICAL,Hindi,,002.38 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400009940,UNIVERSAL STUDIOS,Theatrical,,,002.29 MM.SS,WARNER BROS. PICTURES (INDIA) PVT. LTD.- MUMBAI,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
