certificate_id,film_name,cut_no,description,deleted,replaced,inserted
100090842400000145,AAVESHAM,1,Smoking disclaimer videos of both male and female to be played at the beginning and soon after interval. -Inserted,00.00,01.00,00.00
100090842400000145,AAVESHAM,2,"Cuss word MOONCHI to be muted or replaced at TCR 00:32:15, 00:48:20 - Replaced with MUDINJUPOKUM and KALLUKOOCHANALLA",00.02,00.02,00.00
100090842400000145,AAVESHAM,3,"Kannad cuss word BOLI MAGA to be muted or replaced at TCR 02:09:37, 02:22:58 and wherever it occurs. - Muted",00.02,00.02,00.00
